Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
JQ7006J,6889263,18/01/2024,1,2024,PLT,1580.954,1193,415208,4160,411048.04,310180,100868.04,24.5,968.33
XX1537S,6889273,18/01/2024,1,2024,PLT,328.002,307,62453.4,133,62320.38,58330,3990.38,6.4,43.1
GE2425T,6889283,18/01/2024,1,2024,PLT,139.703,129,26638.5,95,26543.57,24510,2033.57,7.7,23.39
GE2425T,6889293,18/01/2024,1,2024,PLT,139.703,133,26638.5,95,26543.57,25270,1273.57,4.8,14.65
NI2398W,6889303,18/01/2024,1,2024,PLT,147.518,132,26643.25,90,26553.24,23760,2793.24,10.5,42.18
UT9910E,6889313,18/01/2024,1,2024,PLT,54.586,44,10466.3,95,10371.34,8360,2011.34,19.4,30.17
MR6151U,6889323,18/01/2024,1,2024,PLT,137.658,131,26250,95,26155.02,24890,1265.02,4.8,13.92
ZT7261T,6889333,18/01/2024,1,2024,PLT,136.183,136,25969.7,95,25874.77,25840,34.77,0.1,0.36
AY2463C,6889343,18/01/2024,1,2024,PLT,136.237,129,25980,95,25885.03,24510,1375.03,5.3,14.3
BP3944H,6889353,18/01/2024,1,2024,PLT,918.378,884,203583.08,1540,202043.16,194480,7563.16,3.7,89.25
BP3944H,6889363,18/01/2024,1,2024,PLT,918.378,862,203583.08,1540,202043.16,189640,12403.16,6.1,146.36
BP3944H,6889373,18/01/2024,1,2024,PLT,918.378,858,203583.08,1540,202043.16,188760,13283.16,6.6,156.74
UU5151Q,6889383,18/01/2024,1,2024,PLT,94.165,0,17986.365,95,17891.35,0,17891.35,100,236.17
VJ4191A,6889393,18/01/2024,1,2024,PLT,38.457,29,17771.12,273,17497.935,13195,4302.935,24.6,60.24
ZQ2557X,6889403,18/01/2024,1,2024,PLT,95.864,86,18020.085,93.5,17926.568,16082,1844.568,10.3,29.7
